url_pk,channel_id,title,description,thumbnails,published,play_time,view_count,like_count
ZegwtmczERc,UCC9pQY_uaBSa0WOpMNJHbEQ,외국인이 보면 기겁할 만한 영상,마늘 보쌈을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/ZegwtmczERc/hqdefault.jpg', 'width': 480, 'height': 360}",2022-10-11T10:43:25Z,1:,12245511,143693
OlyxKWdz1Ps,UCC9pQY_uaBSa0WOpMNJHbEQ,저렴하고 일주일은 배터지게 먹는 순두부 돼지볶음 #Shorts,저렴하고 넉넉하게 돼지 뒷다리살 요리 만들어보자 #shorts,"{'url': 'https://i.ytimg.com/vi/OlyxKWdz1Ps/hqdefault.jpg', 'width': 480, 'height': 360}",2021-09-30T09:44:51Z,58,2150092,34345
o-KP24wjcYY,UCC9pQY_uaBSa0WOpMNJHbEQ,만들기 어려워 보여도 실제로는 엄청 쉬움,매운 돼지갈비찜을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/o-KP24wjcYY/hqdefault.jpg', 'width': 480, 'height': 360}",2022-05-17T03:00:14Z,59,811127,12889
eonpuaK9ey8,UCC9pQY_uaBSa0WOpMNJHbEQ,외국에서 많이 먹는 요리를 한국식으로 바꿔 보자 #shorts,,"{'url': 'https://i.ytimg.com/vi/eonpuaK9ey8/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-02T04:58:47Z,1:,105582,1293
h3GpehEVdoM,UCC9pQY_uaBSa0WOpMNJHbEQ,김치볶음밥 더 맛있게 만드는 꿀팁 #Shorts,김치볶음밥을 더 맛있게 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/h3GpehEVdoM/hqdefault.jpg', 'width': 480, 'height': 360}",2021-12-03T10:24:18Z,57,775030,19156
7RX8U4vDBr0,UCC9pQY_uaBSa0WOpMNJHbEQ,이거 보고 배달을 끊었습니다.,새우찜을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/7RX8U4vDBr0/hqdefault.jpg', 'width': 480, 'height': 360}",2022-12-26T09:12:08Z,1:,2483672,36839
Z4DKGlShqW8,UCC9pQY_uaBSa0WOpMNJHbEQ,이렇게 먹었더니 냉동만두 1kg가 사라졌습니다,,"{'url': 'https://i.ytimg.com/vi/Z4DKGlShqW8/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-14T04:10:48Z,1:,879668,8767
WFiBXqcURoM,UCC9pQY_uaBSa0WOpMNJHbEQ,이거 대구에서만 먹을 수 있다는데 ㄹㅇ??,중화비빔밥을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/WFiBXqcURoM/hqdefault.jpg', 'width': 480, 'height': 360}",2022-05-17T09:30:09Z,1:,551869,6078
euoNoDDG2o0,UCC9pQY_uaBSa0WOpMNJHbEQ,하 오늘도 못참고 달리겠습니다,,"{'url': 'https://i.ytimg.com/vi/euoNoDDG2o0/hqdefault.jpg', 'width': 480, 'height': 360}",2023-03-17T04:03:30Z,1:,559321,7550
M46HRw1iZfk,UCC9pQY_uaBSa0WOpMNJHbEQ,대기업 석박사님들의 피땀눈물의 섞인 국물,,"{'url': 'https://i.ytimg.com/vi/M46HRw1iZfk/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-09T08:30:01Z,57,902922,8410
BnoY4x5djGY,UCC9pQY_uaBSa0WOpMNJHbEQ,일본인도 놀랄만한 라면 만들기,,"{'url': 'https://i.ytimg.com/vi/BnoY4x5djGY/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-05T09:21:19Z,57,183203,4956
nZk7-p8oIA0,UCC9pQY_uaBSa0WOpMNJHbEQ,참치캔 하나만 있으면 끝!! #Shorts,참치맛나니를 만들어 보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/nZk7-p8oIA0/hqdefault.jpg', 'width': 480, 'height': 360}",2022-04-15T03:15:01Z,49,1942110,23184
lPuYGL0_wzA,UCC9pQY_uaBSa0WOpMNJHbEQ,많은 분들이 좋아하는 바로 그 치킨 맛입니다.,,"{'url': 'https://i.ytimg.com/vi/lPuYGL0_wzA/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-18T08:35:44Z,1:,564468,8685
GlRJzyctG0Q,UCC9pQY_uaBSa0WOpMNJHbEQ,간단하게 초코케이크 만들기 #Shorts,틱톡에서 200만 조회수가 나온 초코케이크 만들기 #Shorts,"{'url': 'https://i.ytimg.com/vi/GlRJzyctG0Q/hqdefault.jpg', 'width': 480, 'height': 360}",2021-07-01T11:53:51Z,59,10615812,216285
FhIqC78hXVE,UCC9pQY_uaBSa0WOpMNJHbEQ,요즘 같이 맑은 날 이렇게 만들어서 데이트가면 좋습니다,,"{'url': 'https://i.ytimg.com/vi/FhIqC78hXVE/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-21T04:05:44Z,55,96088,1889
XEJAWdWxI1M,UCC9pQY_uaBSa0WOpMNJHbEQ,만두 좋아하는 사람은 꼭 봐야함 #Shorts,만두 좋아하는 사람을 위한 군만두 전골 만들기 #Shorts,"{'url': 'https://i.ytimg.com/vi/XEJAWdWxI1M/hqdefault.jpg', 'width': 480, 'height': 360}",2021-11-28T12:12:14Z,52,5495688,108223
991ZQqo3jnE,UCC9pQY_uaBSa0WOpMNJHbEQ,삼겹살에 '이것'만 더해보세요. 신세계 입니다.,,"{'url': 'https://i.ytimg.com/vi/991ZQqo3jnE/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-10T09:04:48Z,59,359357,4884
oTYqFXVifjk,UCC9pQY_uaBSa0WOpMNJHbEQ,직장인들은 무조건 먹어본 음식 #Shorts,간단하게 스팸김치전골을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/oTYqFXVifjk/hqdefault.jpg', 'width': 480, 'height': 360}",2022-01-26T10:02:34Z,1:,2474537,53321
eZbz2GSRwU0,UCC9pQY_uaBSa0WOpMNJHbEQ,이렇게 만들어주면 짜장라면 요리사 소리를 평생 들을 수 있습니다,,"{'url': 'https://i.ytimg.com/vi/eZbz2GSRwU0/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-30T11:45:05Z,59,154875,3903
qlYLAVAwr8A,UCC9pQY_uaBSa0WOpMNJHbEQ,술집에서 더 잘팔리는 김치볶음밥 #Shorts,간단하게 김치볶음밥을 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/qlYLAVAwr8A/hqdefault.jpg', 'width': 480, 'height': 360}",2021-12-19T14:29:24Z,59,595587,11527
CPQsY9z7Q_8,UCC9pQY_uaBSa0WOpMNJHbEQ,다시는 진순이를 무시하지 마라,,"{'url': 'https://i.ytimg.com/vi/CPQsY9z7Q_8/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-04T07:49:55Z,52,443294,7967
hrlQVpGCYGY,UCC9pQY_uaBSa0WOpMNJHbEQ,이건 징역 10년 짜리 밥도둑입니다,,"{'url': 'https://i.ytimg.com/vi/hrlQVpGCYGY/hqdefault.jpg', 'width': 480, 'height': 360}",2023-03-04T09:53:53Z,58,369397,4045
cInzhbesP2M,UCC9pQY_uaBSa0WOpMNJHbEQ,진짜 밖에서 파는 것보다 훨씬 맛있습니다.,,"{'url': 'https://i.ytimg.com/vi/cInzhbesP2M/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-27T04:22:48Z,51,128051,3856
PZtE-YVytnA,UCC9pQY_uaBSa0WOpMNJHbEQ,이거 먹으러 이제 멀리 안가도 됨,치즈닭갈비를 만들어보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/PZtE-YVytnA/hqdefault.jpg', 'width': 480, 'height': 360}",2022-09-28T11:01:12Z,1:,178122,3590
PRqR-bsZwrw,UCC9pQY_uaBSa0WOpMNJHbEQ,이거 먹으러 이제 멀리갈 필요 없습니다.,,"{'url': 'https://i.ytimg.com/vi/PRqR-bsZwrw/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-14T13:25:21Z,1:,653006,11750
iLVSrVqTDEo,UCC9pQY_uaBSa0WOpMNJHbEQ,돼지고기 뒷다리살을 고급지게 먹는 방법 #Shorts,돼지고기 뒷다리살로 스테이크를 만들어 보자 #Shorts,"{'url': 'https://i.ytimg.com/vi/iLVSrVqTDEo/hqdefault.jpg', 'width': 480, 'height': 360}",2021-11-18T14:15:26Z,59,5004945,51703
C0UVP9gSCpI,UCC9pQY_uaBSa0WOpMNJHbEQ,입맛 없을때 이걸로 밥 3그릇 먹음,"간단하게 스팸순두부조림을 만들어보자

[재료]
통조림햄, 순두부, 각종 야채(선택재료)

[양념장]
진간장 1스푼
멸치액젓 1스푼
굴소스 1스푼
설탕 1스푼
고춧가루 2스푼
다진 마늘 1스푼
물 1컵

[만드는 법]
1. 통조림 햄을 먹기 좋은 크기로 자르고 먼저 구워줍니다.
2. 햄을 팬 가쪽으로 치우고 양파, 양념장을 올려줍니다.
3. 순두부, 팽이버섯, 깻잎, 후추를 올려줍니다. (선택재료)
4. 야채 숨이 죽을 때까지 끓여줍니다.

#스팸
#순두부
#조림","{'url': 'https://i.ytimg.com/vi/C0UVP9gSCpI/hqdefault.jpg', 'width': 480, 'height': 360}",2021-12-14T10:42:26Z,3:10,508450,14265
VZADH5SKD7E,UCC9pQY_uaBSa0WOpMNJHbEQ,제발 볶음밥 이렇게 해보세요,"참치김치볶음밥을 만들어보자

[재료]
참치 1캔 (100g), 김치, 대파

[만드는 법]
1. 김치 3스푼, 대파, 진간장 1스푼, 설탕 1/2스푼, 고춧가루 1스푼, 마요네즈 1스푼을 넣고 섞어줍니다.
2. 팬에 식용유를 두르고 (1)을 넣고 볶아줍니다.
3. 양념이 타기 전까지 볶아주다가 밥도 넣고 볶아줍니다.
4. 후추, 파슬리를 뿌려줍니다. 

#김치볶음밥

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/VZADH5SKD7E/hqdefault.jpg', 'width': 480, 'height': 360}",2022-05-30T03:53:48Z,2:6,170579,4013
dwaHv5vENwk,UCC9pQY_uaBSa0WOpMNJHbEQ,흰밥에 이것만 올리세요,"일주일치 반찬인 돼지 고추장 양념 볶음을 만들어 보자

[재료]
다진 돼지고기 뒷다리살 500g, 양파, 대파

[만드는 법]
1. 팬에 식용유를 두르고 대파, 다진 돼지고기를 넣고 볶아줍니다.
2. 다진 마늘 2스푼, 고춧가루 3스푼을 넣고 한번 더 볶아줍니다.
3. 양파, 청양고추, 고추장 3스푼, 진간장 3스푼, 설탕 3스푼을 넣고 볶아줍니다.
4. 통깨를 뿌려 마무리합니다.
5. 흰밥에 양념장만 올려서 먹어도 OK

#돼지고기 #반찬 

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/dwaHv5vENwk/hqdefault.jpg', 'width': 480, 'height': 360}",2022-12-17T08:29:56Z,2:6,1257192,24296
SLY-RbPGRLM,UCC9pQY_uaBSa0WOpMNJHbEQ,비 오는 날 이거 먹으러 멀리 가지 마세요,사리곰탕으로 고기국수 만들기 #Shorts,"{'url': 'https://i.ytimg.com/vi/SLY-RbPGRLM/hqdefault.jpg', 'width': 480, 'height': 360}",2022-11-29T10:36:20Z,1:,2113682,18126
dq4xowyqMN8,UCC9pQY_uaBSa0WOpMNJHbEQ,이걸로 밥최몇?? 난 3공기 쌉가능!!,"돼지두부짜글이를 만들어보자

[재료]
돼지고기 앞다리살 300g , 두부 300g, 양파, 대파, 청양고추

[만드는 법]
1. 팬에 돼지고기를 구워줍니다.
2. 양파, 고추장 1스푼, 진간장 2스푼, 설탕 1스푼, 고춧가루 1스푼, 다진 마늘 1스푼, 후추를 조금 넣고 볶아줍니다.
3. 물 2컵+1/2컵 (약 450ml), 대파, 청양 고추를 넣고 중약불에서 10분이상 끓여줍니다.

#돼지두부짜글이

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/dq4xowyqMN8/hqdefault.jpg', 'width': 480, 'height': 360}",2022-04-25T03:00:20Z,2:50,145966,3473
3jt_vdD60tk,UCC9pQY_uaBSa0WOpMNJHbEQ,이때까지 먹은 목살구이와는 비교가 안 되는 맛입니다.,"매콤목살구이를 만들어 보자

[재료]
돼지 목살 300g, 대파

[만드는 법]
1. 돼지 목살에 소금 1꼬집, 후추 조금, 고춧가루 1스푼, 전분가루 2스푼을 넣고 잘 섞어줍니다.
2. 팬에 식용유를 두르고 목살을 구워줍니다
3. 고추기름이 나오면 다진 대파, 다진 청양고추, 다진 마늘 1/2스푼, 진간장 2스푼, 설탕 1스푼을 넣고 볶아줍니다.
4. 후추, 통깨를 입맛에 맞게 뿌려줍니다.

#매콤목살구이 

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/3jt_vdD60tk/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-19T07:00:03Z,1:48,125223,2924
eZD7uGISXoY,UCC9pQY_uaBSa0WOpMNJHbEQ,비싼 배달비에 빡쳐서 이렇게 먹습니다.,"양념치킨을 만들어보자

[재료]
닭다리살 정육 350g, 감자전분

[만드는 법]
1. 닭다리살 정육에 소금, 후추, 진간장 1스푼, 식초 2스푼, 감자전분 4~5스푼을 넣고 잘 섞어줍니다.
2. 팬에 식용유를 두르고 앞뒤로 잘 구워줍니다.
(양념소스 - 고추장 1스푼, 굴소스 1스푼, 고춧가루 1스푼, 케찹 2스푼, 다진 마늘 1/2스푼, 설탕 4~6스푼, 물 4스푼)
3. 양념소스에 닭을 잘 버무려줍니다.
4. 통깨를 뿌려 마무리해줍니다.

#양념치킨

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/eZD7uGISXoY/hqdefault.jpg', 'width': 480, 'height': 360}",2022-11-15T09:03:06Z,2:33,176746,3298
tDlw8yMg9NY,UCC9pQY_uaBSa0WOpMNJHbEQ,절대 실패할 수 없는 김치찌개 레시피,"김치찌개를 끓여보자

[재료]
찌개용 돼지고기 300~400g, 자른 김치 5~6스푼

[만드는 법]
1. 냄비에 식용유 2~3스푼 두르고, 찌개용 돼지고기, 자른 김치, 된장 1스푼, 고추장 1스푼, 진간장 2스푼을 넣고 볶아줍니다.
2. 다진 마늘 1스푼, 양파, 대파를 넣고 더 볶아줍니다.
3. 물 3컵(약 560ml)을 부어주고 푹 끓여줍니다.
4. 두부 등 넣고 싶은 재료를 넣어줍니다.
5. 소금을 살짝 넣어 간을 맞춰줍니다.

#김치찌개

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/tDlw8yMg9NY/hqdefault.jpg', 'width': 480, 'height': 360}",2022-03-21T07:52:02Z,2:49,711408,15618
beYNXQgWmyQ,UCC9pQY_uaBSa0WOpMNJHbEQ,이건 떡볶이보다 100배 더 맛있습니다.,"떡꼬치 한판을 만들어 보자

[재료]
떡볶이 떡 300g, 대파, 전분

[만드는 법]
1. 팬에 식용유를 두르고 떡을 구워줍니다.
2. 전분 2스푼, 물 1/2컵(약 90ml)를 섞은 전분물과 대파를 흩뿌려주고 바삭해지게 구워줍니다.
3. 떡꼬치 소스, 통깨, 청양고추 등 입맛에 맞게 뿌려줍니다.
(떡꼬치 소스 - 물 4~5스푼, 고추장 1스푼, 진간장 1스푼, 케찹 1스푼, 설탕 4스푼, 다진 마늘 1/2스푼)

#떡꼬치

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/beYNXQgWmyQ/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-06T09:43:07Z,2:11,166763,3272
_bU5Zz_F1j0,UCC9pQY_uaBSa0WOpMNJHbEQ,밥 먹으려고 끓였다가 쐬주 3병 마시게 만드는 마법의 찌개,"간단하게 참치고추장찌개를 끓여보자

[재료]
참치 1캔(100g), 감자, 양파, 두부, 대파, 청양고추

[만드는 법]
1. 뚝배기에 식용유 2스푼, 고추장 1스푼을 넣고 볶아줍니다.
2. 감자를 넣고 볶아줍니다.
3. 물 2컵을 넣고 굴소스 1스푼(or 멸치액젓 1스푼), 다진마늘 1스푼 넣어줍니다.
4. 물이 끓으면 양파, 두부, 대파, 청양고추, 참치 등 넣어줍니다.
5. 감자가 다 익을 때까지 끓여줍니다.



채널에 가입하여 재미있는 혜택을 누려보세요.
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join

#참치
#고추장찌개","{'url': 'https://i.ytimg.com/vi/_bU5Zz_F1j0/hqdefault.jpg', 'width': 480, 'height': 360}",2021-12-20T10:25:53Z,3:7,274444,6347
ZdbSHUlHiUc,UCC9pQY_uaBSa0WOpMNJHbEQ,이게 어렵다면 제 머리털을 뽑으셔도 좋습니다.,"잔치국수를 만들어 보자 

[재료]
소면, 양파, 계란, 애호박

[만드는 법]
1. 물 종이컵 3컵(약 540ml), 멸치 액젓 1스푼, 치킨스톡 1/2스푼을 넣고 끓여줍니다.
2. 소면, 양파, 애호박 등 넣고 끓여줍니다.
3. 면이 익었으면 먼저 그릇에 빼줍니다. 
4. 계란에 소금 한꼬집과 설탕 1/2스푼을 넣고 잘 풀어주고 국물에 부어줍니다.
5. 면 위로 다 부어주고 김가루, 통깨, 참기름 등 넣어줍니다.

#잔치국수


채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/ZdbSHUlHiUc/hqdefault.jpg', 'width': 480, 'height': 360}",2023-01-02T08:37:06Z,1:42,119275,1590
AW6mq5K5X4A,UCC9pQY_uaBSa0WOpMNJHbEQ,냉동실에 만두가 있다면 무조건 보세요,"만두덮밥을 만두러 보자

[재료]
냉동만두, 양파

[만두는 법]
1. 냉동만두는 살짝 해동시켜주고 먹기 좋게 잘라줍니다.
2. 자른 냉동만두, 양파 1/2개를 같이 볶아줍니다.
3. 물 1/2컵(약 90ml), 설탕 1스푼, 돈가스소스 1스푼, 굴소스 1스푼을 넣고 섞어줍니다.
4. 계란 노른자, 후추, 통깨 등 입맛에 맞게 뿌려줍니다.

#만두덮밥

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/AW6mq5K5X4A/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-08T08:50:56Z,1:35,155937,1985
OFUng0656qo,UCC9pQY_uaBSa0WOpMNJHbEQ,장담하건대 이제 이거 보이면 무조건 사오게 될 겁니다.,"꽁치 무조림을 만들어 보자

[재료]
꽁치 통조림(300g), 양파, 무 300g

[만드는 법]
1. 팬에 무, 양파를 깔아주고 물 1컵, 꽁치 통조림 국물을 다 부어줍니다.
2. 진간장 1스푼, 굴소스 2스푼, 설탕 1스푼, 다진 마늘 1스푼, 다진 생강 조금, 고춧가루 2스푼을 넣고 10분간 끓여줍니다.
3. 꽁치를 다 넣고 국물을 졸여줍니다.
4. 대파를 올려 마무리합니다.

#꽁치 

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/OFUng0656qo/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-04T09:16:07Z,1:42,62931,1107
_1T1UQ9ugtc,UCC9pQY_uaBSa0WOpMNJHbEQ,흰밥에 이것만 올리세요,"촉촉한 어묵볶이를 만들어 보자

[재료]
어묵 200g, 양파, 대파

[만드는 법]
1. 어묵은 미리 삶아줍니다.
2. 팬에 식용유를 넉넉히 두르고 대파, 양파를 볶아줍니다
3. 다진 마늘 1스푼, 고춧가루 1스푼을 넣고 볶아줍니다.
4. 어묵 삶은 물 2/3컵(약 120ml), 어묵, 굴소스 1스푼, 돈가스 소스 3스푼, 설탕 1스푼을 넣고 볶아줍니다.
5. 참기름, 통깨, 대파 등 입맛에 맞게 뿌려줍니다.

#어묵 

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/_1T1UQ9ugtc/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-17T09:14:38Z,2:1,112148,1719
ZdbSHUlHiUc,UCC9pQY_uaBSa0WOpMNJHbEQ,이게 어렵다면 제 머리털을 뽑으셔도 좋습니다.,"잔치국수를 만들어 보자 

[재료]
소면, 양파, 계란, 애호박

[만드는 법]
1. 물 종이컵 3컵(약 540ml), 멸치 액젓 1스푼, 치킨스톡 1/2스푼을 넣고 끓여줍니다.
2. 소면, 양파, 애호박 등 넣고 끓여줍니다.
3. 면이 익었으면 먼저 그릇에 빼줍니다. 
4. 계란에 소금 한꼬집과 설탕 1/2스푼을 넣고 잘 풀어주고 국물에 부어줍니다.
5. 면 위로 다 부어주고 김가루, 통깨, 참기름 등 넣어줍니다.

#잔치국수


채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/ZdbSHUlHiUc/hqdefault.jpg', 'width': 480, 'height': 360}",2023-01-02T08:37:06Z,1:42,119275,1590
GLEo1QG4YlA,UCC9pQY_uaBSa0WOpMNJHbEQ,제발 건들지 말고 그대로 두세요,"본 영상은 유료광고를 포함하고 있습니다.

매운돼지찜을 만들어 보자

[재료]
돼지 뒷다리살 600g, 감자, 당근

[만드는 법]
1. 팬이나 냄비에 돼지고기 뒷다리살과 돼지고기가 2/3 정도 잠기게 물을 부어줍니다.
2. 고추장 2스푼, 진간장 2스푼, 고춧가루 2스푼, 설탕 1스푼, 다진 마늘 1스푼, 치킨스톡 1/2스푼을 넣고 20분간 끓여줍니다.
3. 물 양이 절반 정도 졸았을 때쯤에 감자, 당근, 청영고추를 넣고 마저 익혀줍니다.
4. 대파, 통깨 등 입맛에 맞게 뿌려줍니다.

#매운돼지찜

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/GLEo1QG4YlA/hqdefault.jpg', 'width': 480, 'height': 360}",2023-05-11T08:00:10Z,2:10,90789,1696
MO22CNHhAMo,UCC9pQY_uaBSa0WOpMNJHbEQ,이걸 보고도 실패한다면 제 머리털을 가져가세요.,"얼큰 계란찌개를 만들어 보자

[재료]
고추참치 1캔(90g), 대파, 양파, 애호박, 계란 2알

[만드는 법]
1. 뚝배기에 식용유, 대파를 넣고 볶아서 파기름을 만들어 줍니다.
2. 고추참치 1캔, 다진 마늘 1/2스푼, 고춧가루 1스푼을 넣고 볶아줍니다
3. 물 2컵(약 360ml), 멸치액젓 1스푼, 치킨스톡 1/3스푼, 양파, 애호박, 계란을 넣고 끓여줍니다.
4. 대파, 후추 등 입맛에 맞게 뿌려줍니다.

#계란찌개

채널 멤버십 표시로 이름 옆에 후라이팬을 달아보세요 🍳
https://www.youtube.com/channel/UCC9pQY_uaBSa0WOpMNJHbEQ/join","{'url': 'https://i.ytimg.com/vi/MO22CNHhAMo/hqdefault.jpg', 'width': 480, 'height': 360}",2023-04-30T07:24:23Z,1:41,278225,3908
